"","Player","Tm","seson18_19"
"1","Stephen Curry","GSW",37457154
"2","Chris Paul","HOU",35654150
"3","Russell Westbrook","OKC",35654150
"4","LeBron James","LAL",35654150
"5","Blake Griffin","DET",32088932
"6","Gordon Hayward","BOS",31214295
"7","Kyle Lowry","TOR",31200000
"8","Paul George","OKC",30560700
"9","Mike Conley","MEM",30521116
"10","James Harden","HOU",30431854
"11","Kevin Durant","GSW",3e+07
"12","Paul Millsap","DEN",29730769
"13","Al Horford","BOS",28928710
"14","Damian Lillard","POR",27977689
"15","DeMar DeRozan","SAS",27739975
"16","Chris Bosh","MIA",26837720
"17","Otto Porter","WAS",26011913
"18","Jrue Holiday","NOP",25976111
"19","CJ McCollum","POR",25759766
"20","Carmelo Anthony","ATL",25534253
"21","Andrew Wiggins","MIN",25467250
"22","Joel Embiid","PHI",25467250
"23","Bradley Beal","WAS",25434263
"24","Anthony Davis","NOP",25434263
"25","Andre Drummond","DET",25434263
"26","Hassan Whiteside","MIA",25434263
"27","Nikola Jokic","DEN",24605181
"28","Steven Adams","OKC",24157304
"29","Giannis Antetokounmpo","MIL",24157304
"30","Kevin Love","CLE",24119025
"31","Marc Gasol","MEM",24119025
"32","Chandler Parsons","MEM",24107258
"33","Harrison Barnes","DAL",24107258
"34","Nicolas Batum","CHO",2.4e+07
"35","Rudy Gobert","UTA",23241573
"36","Kawhi Leonard","TOR",23114067
"37","DeAndre Jordan","DAL",22900000
"38","LaMarcus Aldridge","SAS",22347015
"39","Serge Ibaka","TOR",21666667
"40","Aaron Gordon","ORL",21590909
"41","Danilo Gallinari","LAC",21587579
"42","Victor Oladipo","IND",2.1e+07
"43","Jimmy Butler","PHI",20445779
"44","Ryan Anderson","PHO",20421546
"45","Kyrie Irving","BOS",20099189
"46","Jabari Parker","CHI",2e+07
"47","Zach LaVine","CHI",19500000
"48","Tyler Johnson","MIA",19245370
"49","John Wall","WAS",19169800
"50","George Hill","MIL",1.9e+07
"51","Jeff Teague","MIN",1.9e+07
"52","Klay Thompson","GSW",18988725
"53","Dwight Howard","BRK",18919725
"54","Enes Kanter","NYK",18622514
"55","Wesley Matthews","DAL",18622514
"56","Joakim Noah","NYK",18530000
"57","Allen Crabbe","BRK",18500000
"58","Goran Dragic","MIA",18109175
"59","Kent Bazemore","ATL",18089887
"60","Evan Turner","POR",17868852
"61","Draymond Green","GSW",17469565
"62","Tristan Thompson","CLE",17469565
"63","Tim Hardaway","NYK",17325000
"64","Reggie Jackson","DET",17043478
"65","Evan Fournier","ORL",1.7e+07
"66","Bismack Biyombo","CHO",1.7e+07
"67","Derrick Favors","UTA",16900000
"68","Pau Gasol","SAS",16800000
"69","Jonas Valanciunas","TOR",16539326
"70","Gary Harris","DEN",16517857
"71","Andre Iguodala","GSW",1.6e+07
"72","Timofey Mozgov","ORL",1.6e+07
"73","Ian Mahinmi","WAS",15944154
"74","Dennis Schroder","OKC",15500000
"75","DeMarre Carroll","BRK",15400000
"76","Clint Capela","HOU",15293104
"77","Gorgui Dieng","MIN",15170787
"78","Trevor Ariza","WAS",1.5e+07
"79","Eric Bledsoe","MIL",1.5e+07
"80","Ricky Rubio","UTA",14975000
"81","Tobias Harris","LAC",14800000
"82","J.R. Smith","CLE",14720000
"83","James Johnson","MIA",14651700
"84","Brandon Knight","HOU",14631250
"85","Robin Lopez","CHI",14357750
"86","Luol Deng","LAL",14354067
"87","Marvin Williams","CHO",14087500
"88","Taj Gibson","MIN",1.4e+07
"89","Jeremy Lin","ATL",13768421
"90","Thaddeus Young","IND",13764045
"91","Kenneth Faried","BRK",13764045
"92","Tyson Chandler","PHO",13585000
"93","Marcin Gortat","LAC",13565218
"94","Cody Zeller","CHO",13528090
"95","Eric Gordon","HOU",13500375
"96","Joe Ingles","UTA",13045455
"97","Khris Middleton","MIL",1.3e+07
"98","Michael Kidd-Gilchrist","CHO",1.3e+07
"99","Mason Plumlee","DEN",12917808
"100","Wilson Chandler","PHI",12800562
"101","Nikola Vucevic","ORL",12750000
"102","Austin Rivers","PHO",12650000
"103","Jordan Clarkson","CLE",12500000
"104","Miles Plumlee","ATL",12500000
"105","Nikola Mirotic","NOP",12500000
"106","Tyreke Evans","IND",12400000
"107","Courtney Lee","NYK",12253780
"108","Solomon Hill","NOP",12252928
"109","J.J. Redick","PHI",12250000
"110","Kelly Olynyk","MIA",12137527
"111","Kentavious Caldwell-Pope","LAL",1.2e+07
"112","Avery Bradley","LAC",1.2e+07
"113","Kemba Walker","CHO",1.2e+07
"114","Will Barton","DEN",11830358
"115","T.J. Warren","PHO",11750000
"116","Zach Randolph","SAC",11692308
"117","Marcus Smart","BOS",11660716
"118","Patty Mills","SAS",11571429
"119","Dion Waiters","MIA",11550000
"120","Alec Burks","CLE",11536515
"121","John Henson","CLE",11327466
"122","Omer Asik","CHI",11286516
"123","Jusuf Nurkic","POR",11111111
"124","Iman Shumpert","SAC",11011234
"125","Maurice Harkless","POR",10837079
"126","Tony Snell","MIL",10607143
"127","Meyers Leonard","POR",10595506
"128","Terrence Ross","ORL",10500000
"129","Bojan Bogdanovic","IND",10500000
"130","Robert Covington","MIN",10464092
"131","Rudy Gay","SAS",10087200
"132","Jon Leuer","DET",10002681
"133","Andre Roberson","OKC",1e+07
"134","Danny Green","TOR",1e+07
"135","Darren Collison","IND",1e+07
"136","Dwight Powell","DAL",9631250
"137","Matthew Dellavedova","CLE",9607500
"138","Dante Exum","UTA",9600000
"139","Jared Dudley","BRK",9530000
"140","Norman Powell","TOR",9367200
"141","Josh Richardson","MIA",9367200
"142","Bogdan Bogdanovic","SAC",9e+06
"143","Rajon Rondo","LAL",9e+06
"144","E'Twaun Moore","NOP",8808685
"145","Kosta Koufos","SAC",8739500
"146","Jerami Grant","OKC",8653847
"147","Fred VanVleet","TOR",8653847
"148","Kyle Anderson","MEM",8641000
"149","Julius Randle","NOP",8641000
"150","Markieff Morris","WAS",8600000
"151","Jerryd Bayless","MIN",8575916
"152","Cristiano Felicio","CHI",8470980
"153","Markelle Fultz","PHI",8339880
"154","Joe Harris","BRK",8333333
"155","C.J. Miles","TOR",8333333
"156","Shaun Livingston","GSW",8307692
"157","Deandre Ayton","PHO",8165160
"158","Lou Williams","LAC",8e+06
"159","Garrett Temple","MEM",8e+06
"160","P.J. Tucker","HOU",7969537
"161","Cory Joseph","IND",7945000
"162","JaMychal Green","MEM",7866667
"163","Karl-Anthony Towns","MIN",7839435
"164","Kyle Korver","UTA",7560000
"165","Jeremy Lamb","CHO",7488372
"166","Darrell Arthur","PHO",7464912
"167","Lonzo Ball","LAL",7461960
"168","Doug McDermott","IND",7333334
"169","Jae Crowder","UTA",7305825
"170","Marvin Bagley","SAC",7305600
"171","D.J. Augustin","ORL",7250000
"172","Dewayne Dedmon","ATL",7200000
"173","Lance Thomas","NYK",7119650
"174","D'Angelo Russell","BRK",7019698
"175","Langston Galloway","DET",7e+06
"176","Davis Bertans","SAS",7e+06
"177","Ersan Ilyasova","MIL",7e+06
"178","Boban Marjanovic","LAC",7e+06
"179","Al-Farouq Aminu","POR",6957105
"180","Jayson Tatum","BOS",6700800
"181","Luka Doncic","DAL",6560640
"182","Nemanja Bjelica","SAC",6500000
"183","Mario Hezonja","NYK",6500000
"184","Ben Simmons","PHI",6434520
"185","Milos Teodosic","LAC",6300000
"186","Wayne Ellington","MIA",6270000
"187","Marco Belinelli","SAS",6153846
"188","Wesley Johnson","NOP",6134520
"189","Josh Jackson","PHO",6041520
"190","Montrezl Harrell","LAC",6e+06
"191","Jonathon Simmons","ORL",6e+06
"192","Ish Smith","DET",6e+06
"193","Jaren Jackson","MEM",5915040
"194","Brandon Ingram","LAL",5757120
"195","Anthony Tolliver","MIN",5750000
"196","Kristaps Porzingis","NYK",5697054
"197","Deron Williams","BRK",5474787
"198","De'Aaron Fox","SAC",5470920
"199","Ben McLemore","SAC",5460000
"200","Alex Abrines","OKC",5455236
"201","Patrick Patterson","OKC",5451600
"202","Jason Smith","MIL",5450000
"203","Marcus Morris","BOS",5375000
"204","Trae Young","ATL",5356440
"205","Dwight Howard","WAS",5337000
"206","DeMarcus Cousins","GSW",5337000
"207","Josh Smith","DET",5331729
"208","Alexis Ajinca","LAC",5285394
"209","Thabo Sefolosha","UTA",5250000
"210","Aron Baynes","BOS",5193600
"211","Jaylen Brown","BOS",5169960
"212","Patrick Beverley","LAC",5027028
"213","Tony Parker","CHO",5e+06
"214","Mike Muscala","PHI",5e+06
"215","Dirk Nowitzki","DAL",5e+06
"216","Jonathan Isaac","ORL",4969080
"217","Mohamed Bamba","ORL",4865040
"218","Willie Cauley-Stein","SAC",4696875
"219","Dragan Bender","PHO",4661280
"220","Ron Baker","NYK",4544400
"221","Lauri Markkanen","CHI",4536120
"222","Lance Stephenson","LAL",4449000
"223","Kyle O'Quinn","IND",4449000
"224","Ed Davis","BRK",4449000
"225","Wendell Carter","CHI",4441200
"226","Justin Holiday","MEM",4384616
"227","Alex Len","ATL",4350000
"228","Luc Mbah a Moute","LAC",4320500
"229","Mike Scott","LAC",4320500
"230","Emmanuel Mudiay","NYK",4294480
"231","Kris Dunn","CHI",4221000
"232","Frank Ntilikina","NYK",4155720
"233","Glenn Robinson","DET",4075000
"234","Collin Sexton","CLE",4068600
"235","Al Jefferson","IND",4e+06
"236","Stanley Johnson","DET",3940402
"237","Buddy Hield","SAC",3833760
"238","Dennis Smith","DAL",3819960
"239","Kevin Knox","NYK",3739920
"240","J.J. Barea","DAL",3710850
"241","Nene Hilario","HOU",3651480
"242","Zach Collins","POR",3628920
"243","Frank Kaminsky","CHO",3627842
"244","Mikal Bridges","PHO",3552960
"245","Mirza Teletovic","MIL",3500000
"246","Michael Beasley","LAL",3500000
"247","Jamal Murray","DEN",3499800
"248","Rodney Hood","CLE",3472887
"249","Justise Winslow","MIA",3448926
"250","Malik Monk","CHO",3447480
"251","Myles Turner","IND",3410284
"252","Allonzo Trier","NYK",3382000
"253","Brook Lopez","MIL",3382000
"254","Shai Gilgeous-Alexander","LAC",3375360
"255","Trey Lyles","DEN",3364249
"256","Ekpe Udoh","UTA",3360000
"257","Devin Booker","PHO",3314365
"258","Luke Kennard","DET",3275280
"259","Troy Daniels","PHO",3258539
"260","Kelly Oubre","PHO",3208630
"261","Miles Bridges","CHO",3206640
"262","Marquese Chriss","HOU",3206160
"263","Tomas Satoransky","WAS",3129187
"264","Bryn Forbes","SAS",3125000
"265","Donovan Mitchell","UTA",3111480
"266","Terry Rozier","BOS",3050390
"267","Jerome Robinson","LAC",3046200
"268","Yogi Ferrell","SAC",3e+06
"269","Elfrid Payton","NOP",3e+06
"270","Bam Adebayo","MIA",2955840
"271","Jakob Poeltl","SAS",2947320
"272","Michael Porter","DEN",2894160
"273","Andrew Nicholson","POR",2844429
"274","Justin Jackson","SAC",2807880
"275","Thon Maker","MIL",2799720
"276","Seth Curry","POR",2795000
"277","Cedi Osman","CLE",2775000
"278","Sam Dekker","WAS",2760095
"279","Troy Brown","WAS",2749080
"280","Guerschon Yabusele","BOS",2667600
"281","Justin Patton","PHI",2667600
"282","Domantas Sabonis","IND",2659800
"283","Jerian Grant","ORL",2639314
"284","Zhaire Smith","PHI",2611800
"285","Delon Wright","TOR",2536898
"286","D.J. Wilson","MIL",2534280
"287","Dario Saric","MIN",2526840
"288","Taurean Waller-Prince","ATL",2526840
"289","Justin Anderson","ATL",2516048
