"","Player","Tm","season17_18","Pos","Age","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Aaron Gordon","ORL",5504420,"SF",21,80,72,2298,14.4,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2,1.7,3.7,0.076,-0.2,-0.4,-0.7,0.8,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,64,40,89,172,1019
"2","Al Horford","BOS",27734405,"C",30,68,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.3,11.9,19.8,3.6,2.7,6.3,0.137,1,2.1,3.1,2.8,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,369,464,337,52,87,116,138,952
"3","Al Jefferson","IND",9769821,"C",32,66,1,931,18.9,0.526,0.002,0.18,9.2,24.2,16.8,11,1,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-1.5,-1.5,-3.1,-0.3,235,471,0.499,0,1,0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535
"4","Al-Farouq Aminu","POR",7319035,"SF",26,61,25,1773,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,-0.1,2,1.9,0.051,-2.3,1.2,-1.1,0.4,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532
"5","Alan Williams","PHO",6e+06,"C",24,47,0,708,19.5,0.547,0.004,0.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,1.1,0.9,2.1,0.142,-1.8,0.2,-1.7,0.1,138,267,0.517,0,1,0,138,266,0.519,0.517,70,112,0.625,94,198,292,23,27,32,37,125,346
"6","Alec Burks","UTA",10845506,"SG",25,42,0,653,11.6,0.501,0.306,0.315,3.1,17.7,10.6,7.5,1.4,0.6,11,22.7,-0.1,0.9,0.8,0.056,-3.3,-0.9,-4.2,-0.4,99,248,0.399,25,76,0.329,74,172,0.43,0.45,60,78,0.769,17,103,120,30,18,5,35,50,283
"7","Alex Abrines","OKC",5725000,"SG",23,68,6,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.095,-0.3,-2.2,-2.5,-0.1,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406
"8","Alex Len","PHO",4187599,"C",23,77,34,1560,15,0.553,0.026,0.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6,1.2,1.7,3,0.091,-3,1.2,-1.8,0.1,230,463,0.497,3,12,0.25,227,451,0.503,0.5,150,208,0.721,156,354,510,44,37,98,102,242,613
"9","Alexis Ajinca","NOP",4961798,"C",28,39,15,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-5.1,1,-4.1,-0.3,89,178,0.5,0,4,0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207
"10","Andre Drummond","DET",23775506,"C",23,81,81,2409,20.9,0.518,0.008,0.39,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,-2.1,2.9,0.8,1.7,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,771,1116,89,124,89,152,237,1105
